index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote,de,en,la,added
7b67e524dc54d2e871e1edf5dcc2c269,2026-06-02T12:00:00Z,'Temperatursturz',www.focus.de,de,0.9,Möglicher Kälteeinbruch im Juni: Das hat es mit dem Wetterphänomen Schafskälte auf sich,Im Juni kann es oft einen Kälteeinbruch von bis zu zehn Grad geben. Wann die Schafskälte ist und was das für Ihren Garten bedeutet.,https://www.focus.de/wissen/natur/moeglicher-kaelteeinbruch-im-juni-das-hat-es-mit-dem-wetterphaenomen-schafskaelte-auf-sich_6d5d0573-c313-4832-a09c-30776f8e8031.html,"https://quadro.burda-forward.de/ctf/5cbc95e9-a278-4181-bba4-b3b11ba68d67.561f3475-c5d5-488a-a127-8d4bd40259db.jpg?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(2737,1687)&hash=6375f990568146842d0480a0687f9677b6df9269f8c180cd8b82d3fadc4e474a",,"Wer auf warme Sommertage hofft, sollte sich nicht zu früh auf den Juni freuen. Bevor der Sommer richtig beginnt, folgt häufig noch eine spürbare Abkühlung. Meteorologen nennen dieses Wetterphänomen S… [+2784 chars]",,Möglicher Kälteeinbruch im Juni: Das hat es mit dem Wetterphänomen Schafskälte auf sich. Im Juni kann es oft einen Kälteeinbruch von bis zu zehn Grad geben. Wann die Schafskälte ist und was das für Ihren Garten bedeutet.,Possible cold snap in June: This is what the cold weather phenomenon is all about. In June there can often be a cold snap of up to ten degrees. When is the cold season and what that means for your garden.,Frigidum disrumpens fieri potest mense Iunio: hoc est quod phaenomenon frigoris circa omnes est. Mense Iunio saepe ad decem gradus frangitur frigus. Cum sit tempus frigidum et quid hoc modo ad hortum tuum.,2026-06-03 17:26:00+00:00
9e7b488f91e5d2c2f4a12c3bc8c0409f,2026-06-02T11:00:00Z,'Glatteis',www.telepolis.de,de,0.9,"""Richtig"" informiert: Das gefährliche Glatteis staatlicher Medienförderung","Internes Papier der Landesmedienanstalten entfacht Diskussion um staatliche Förderung ""zuverlässiger Medien"" neu. Warum das ein Drahtseilakt werden dürfte.",https://www.telepolis.de/article/Richtig-informiert-Das-gefaehrliche-Glatteis-staatlicher-Medienfoerderung-11312681.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/5/0/9/1/9/0/7/generated-image-1_15_-a49ad5ef3d84e974.png,,"(Bild: KI)
Internes Papier der Landesmedienanstalten entfacht Diskussion um staatliche Förderung ""zuverlässiger Medien"" neu. Warum das ein Drahtseilakt werden dürfte.
Mit den Auflagen sinken bei ei… [+4538 chars]",,"""Richtig"" informiert: Das gefährliche Glatteis staatlicher Medienförderung. Internes Papier der Landesmedienanstalten entfacht Diskussion um staatliche Förderung ""zuverlässiger Medien"" neu. Warum das ein Drahtseilakt werden dürfte.",“Correctly” informed: The dangerous slippery slope of state media funding. Internal paper from the state media authorities reignites discussion about state funding for “reliable media”. Why this is likely to be a tightrope act.,"""Recte"" certiorem fecit: Periculosum lubricum fastigium civitatis instrumentorum sumptu. Charta interna ex instrumentis publicis regnantibus disceptatio de statu sumptu pro ""media certa"". Quare hoc factum esse verisimile est tightrope.",2026-06-06 05:11:32+00:00
a4dab03352aa39aee1903d60e16ed1a3,2026-06-03T08:29:00Z,'Kälteeinbruch',www.focus.de,de,0.9,Schafskälte: Das hat es mit dem Wetterphänomen auf sich,Im Juni kann es oft einen Kälteeinbruch von bis zu zehn Grad geben. Wann die Schafskälte ist und was das für Ihren Garten bedeutet.,https://www.focus.de/wissen/natur/schafskaelte-das-hat-es-mit-dem-wetterphaenomen-auf-sich_6d5d0573-c313-4832-a09c-30776f8e8031.html,"https://quadro.burda-forward.de/ctf/5cbc95e9-a278-4181-bba4-b3b11ba68d67.561f3475-c5d5-488a-a127-8d4bd40259db.jpg?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(2737,1687)&hash=6375f990568146842d0480a0687f9677b6df9269f8c180cd8b82d3fadc4e474a",,"Wer auf warme Sommertage hofft, sollte sich nicht zu früh auf den Juni freuen. Bevor der Sommer richtig beginnt, folgt häufig noch eine spürbare Abkühlung. Meteorologen nennen dieses Wetterphänomen S… [+2784 chars]",,Schafskälte: Das hat es mit dem Wetterphänomen auf sich. Im Juni kann es oft einen Kälteeinbruch von bis zu zehn Grad geben. Wann die Schafskälte ist und was das für Ihren Garten bedeutet.,Sheep cold: This is what the weather phenomenon is all about. In June there can often be a cold snap of up to ten degrees. When is the cold season and what that means for your garden.,Oves frigidae sunt: ​​hoc est quod de tempestatibus phaenomenon est. Mense Iunio saepe ad decem gradus frangitur frigus. Cum sit tempus frigidum et quid hoc modo ad hortum tuum.,2026-06-06 19:53:25+00:00
948f3e318f4c68aff4bf81eb1900fcbb,2026-06-01T11:30:31Z,'Frost',t3n.de,de,0.9,"Mit KI und manipulierter Website: Forscher entdecken neuen Trick, um Nutzer auszuspionieren","Österreichische Sicherheitsforscher:innen haben eine Möglichkeit gefunden, sensible Daten von Nutzer:innen über eine manipulierte Website auszuspionieren. Für die Angriffsmethode namens „Frost“ wird kein lokaler Zugriff benötigt. Weil immer mehr Geschäftsproz…",https://t3n.de/news/?p=1745151,https://cdn.t3n.de/news/wp-content/uploads/2026/03/sibersicherheit-unternehmen.jpg?class=content,,"Weil immer mehr Geschäftsprozesse direkt über Webanwendungen laufen, haben sich Browser in den vergangenen Jahren zu einem beliebten Angriffsziel für Cyberkriminelle entwickelt. Unternehmen berichten… [+2966 chars]",,"Mit KI und manipulierter Website: Forscher entdecken neuen Trick, um Nutzer auszuspionieren. Österreichische Sicherheitsforscher:innen haben eine Möglichkeit gefunden, sensible Daten von Nutzer:innen über eine manipulierte Website auszuspionieren. Für die Angriffsmethode namens „Frost“ wird kein lokaler Zugriff benötigt. Weil immer mehr Geschäftsproz…",Using AI and a manipulated website: Researchers discover a new trick to spy on users. Austrian security researchers have found a way to spy on sensitive user data via a manipulated website. The attack method called “Frost” does not require local access. Because more and more business processes…,"Usura AI et loco modificato: Investigatores novam fraudem detegunt explorandi usorum. Inquisitores securitatis Austriacae viam explorandi in usoris sensitivo datam per a website manipulatam exploraverunt. Impetus methodi quae ""Frost"" appellatur, accessum loci non requirit. Quia plus et plus negotii processuum…",2026-06-07 14:27:55+00:00
e20562caa91206f8ca1876516f4ddbf2,2026-06-08T03:54:25Z,'Temperatursturz',www.stern.de,de,0.9,"Temperatursturz: Erst Sommerwetter, dann die kalte Dusche",Stuttgart (lsw) - Von T-Shirt-Wetter zu Jacke und Regenschirm: Die Woche startet im Südwesten mit einem Temperatursturz. Heute rechnet der Deutsche,https://www.stern.de/gesellschaft/regional/baden-wuerttemberg/temperatursturz--erst-sommerwetter--dann-die-kalte-dusche-37508486.html,https://image.stern.de/37508488/t/tL/v1/w1440/r1.7778/-/08--4pmv3xk2isv4axs2048jpeg---6d9ad0e864a272d4.jpg,,"Kopiere den aktuellen Link
Zur Merkliste hinzufügen
Die Woche startet freundlich, dann kippt das Wetter. Böen, Regen und Temperatursturz - in einem Teil des Landes könnte es dann auch krachen.
Von… [+1359 chars]",,"Temperatursturz: Erst Sommerwetter, dann die kalte Dusche. Stuttgart (lsw) - Von T-Shirt-Wetter zu Jacke und Regenschirm: Die Woche startet im Südwesten mit einem Temperatursturz. Heute rechnet der Deutsche","Drop in temperature: First summer weather, then the cold shower. Stuttgart (lsw) - From T-shirt weather to jackets and umbrellas: the week starts with a drop in temperature in the southwest. Today the German is doing the math","Iacta in temperie: primum aestatis tempestas, deinde imber frigidus. Stuttgart (lsw) - Ex tempestate ad tunicas et umbellas subucula: septimana incipit cum gutta caliditatis in Africo. Hodie Germanorum mathematicam facit",2026-06-09 20:25:37+00:00
9a51d0241ce04a474b2325f631330aad,2026-06-09T13:49:00Z,'Kälteeinbruch',www.focus.de,de,0.9,Kaltes Regenwetter im Juni: Diese alte Bauernregel erklärt das Phänomen,Im Juni kann es oft einen Kälteeinbruch von bis zu zehn Grad geben. Wann die Schafskälte ist und was das für Ihren Garten bedeutet.,https://www.focus.de/wissen/kaltes-regenwetter-im-juni-diese-alte-bauernregel-erklaert-das-phaenomen_6d5d0573-c313-4832-a09c-30776f8e8031.html,"https://quadro.burda-forward.de/ctf/5cbc95e9-a278-4181-bba4-b3b11ba68d67.561f3475-c5d5-488a-a127-8d4bd40259db.jpg?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(2737,1687)&hash=6375f990568146842d0480a0687f9677b6df9269f8c180cd8b82d3fadc4e474a",http://web.archive.org/web/20260609170325/https://www.focus.de/wissen/kaltes-regenwetter-im-juni-diese-alte-bauernregel-erklaert-das-phaenomen_6d5d0573-c313-4832-a09c-30776f8e8031.html,"Wer auf warme Sommertage hofft, sollte sich nicht zu früh auf den Juni freuen. Bevor der Sommer richtig beginnt, folgt häufig noch eine spürbare Abkühlung. Meteorologen nennen dieses Wetterphänomen S… [+2784 chars]",,Kaltes Regenwetter im Juni: Diese alte Bauernregel erklärt das Phänomen. Im Juni kann es oft einen Kälteeinbruch von bis zu zehn Grad geben. Wann die Schafskälte ist und was das für Ihren Garten bedeutet.,"Cold, rainy weather in June: This old farmer's rule explains the phenomenon. In June there can often be a cold snap of up to ten degrees. When is the cold season and what that means for your garden.","Frigida, pluviosa mense Iunio: haec regula veteris agricolae phaenomenon explicat. Mense Iunio saepe ad decem gradus frangitur frigus. Cum sit tempus frigidum et quid hoc modo ad hortum tuum.",2026-06-10 16:14:39+00:00
2bf494f8aba8e60dbc8ec57db2e2173e,2026-06-10T09:25:00Z,'Kälteeinbruch',www.focus.de,de,0.9,"Kaltes Regenwetter im Juni: Diese alte Bauernregel unterschätzen viele, obwohl sie oft richtig ist",Im Juni kann es oft einen Kälteeinbruch von bis zu zehn Grad geben. Wann die Schafskälte ist und was das für Ihren Garten bedeutet.,https://www.focus.de/wissen/kaltes-regenwetter-im-juni-diese-alte-bauernregel-unterschaetzen-viele-obwohl-sie-oft-richtig-ist_6d5d0573-c313-4832-a09c-30776f8e8031.html,"https://quadro.burda-forward.de/ctf/5cbc95e9-a278-4181-bba4-b3b11ba68d67.561f3475-c5d5-488a-a127-8d4bd40259db.jpg?im=RegionOfInterestCrop=(1200,630),regionOfInterest=(2737,1687)&hash=6375f990568146842d0480a0687f9677b6df9269f8c180cd8b82d3fadc4e474a",http://web.archive.org/web/20260610122142/https://www.focus.de/wissen/kaltes-regenwetter-im-juni-diese-alte-bauernregel-unterschaetzen-viele-obwohl-sie-oft-richtig-ist_6d5d0573-c313-4832-a09c-30776f8e8031.html,"Wer auf warme Sommertage hofft, sollte sich nicht zu früh auf den Juni freuen. Bevor der Sommer richtig beginnt, folgt häufig noch eine spürbare Abkühlung. Meteorologen nennen dieses Wetterphänomen S… [+2784 chars]",,"Kaltes Regenwetter im Juni: Diese alte Bauernregel unterschätzen viele, obwohl sie oft richtig ist. Im Juni kann es oft einen Kälteeinbruch von bis zu zehn Grad geben. Wann die Schafskälte ist und was das für Ihren Garten bedeutet.","Cold, rainy weather in June: Many people underestimate this old farmer's rule, even though it is often correct. In June there can often be a cold snap of up to ten degrees. When is the cold season and what that means for your garden.","Frigida, pluviosa mense Iunio: Multi veteres agricolae regulam hanc minoris aestimant, quamvis saepe corrigant. Mense Iunio saepe ad decem gradus frangitur frigus. Cum sit tempus frigidum et quid hoc modo ad hortum tuum.",2026-06-11 20:42:48+00:00
ef1209a6aceedc3ffb238eb29c123509,2026-06-08T04:00:00Z,'Frost',www.telepolis.de,de,0.9,Neuer Angriffsvektor: Websites können SSD-Aktivitäten von Besuchern auslesen,"Websites können heimlich auslesen, welche Tabs offen sind. Der Frost-Angriff nutzt SSD-Timing – ganz ohne Schadsoftware. Ein Überblick.",https://www.telepolis.de/article/Neuer-Angriffsvektor-Websites-koennen-SSD-Aktivitaeten-von-Besuchern-auslesen-11311760.html,https://heise.cloudimg.io/bound/1200x1200/q85.png-lossy-85.webp-lossy-85.foil1/_www-heise-de_/imgs/18/5/0/9/1/4/3/8/shutterstock_2625342931-9e2168b991380590.jpg,,"Websites können über SSD-Informationen potentiell Nutzerverhalten in Erfahrung bringen
(Bild: myphotobank.com.au/Shutterstock.com)
Websites können heimlich auslesen, welche Tabs offen sind. Der Fro… [+4484 chars]",,"Neuer Angriffsvektor: Websites können SSD-Aktivitäten von Besuchern auslesen. Websites können heimlich auslesen, welche Tabs offen sind. Der Frost-Angriff nutzt SSD-Timing – ganz ohne Schadsoftware. Ein Überblick.",New attack vector: Websites can read visitors' SSD activities. Websites can secretly read which tabs are open. The Frost attack uses SSD timing - without any malware. An overview.,Novus impetus vector: Websites visitatores' SSD actiones legere possunt. Websites latenter legere possunt quae tabs patent. Frontinus impetum SSD leo utitur - sine malware. Meditatio.,2026-06-12 20:34:44+00:00
16c4f656b01c64b9fcc66b4bbbe7a833,2026-06-11T14:45:25Z,'Glatteis',www.tagesspiegel.de,de,0.9,"Erst Glatteis, jetzt Eichenprozessionsspinner: Berlin sucht mal wieder den Schuldigen, aber nicht die Lösung","Berlins Bürger fühlen sich erneut im Stich gelassen. Doch die Politik pocht auf Zuständigkeiten – und verpasst eine Chance für den Wahlkampf. Mit einer solchen Mentalität, hilft auch die beste Verwaltungsreform nicht.",https://www.tagesspiegel.de/berlin/erst-glatteis-jetzt-eichenprozessionsspinner-berlin-sucht-mal-wieder-den-schuldigen-aber-nicht-die-losung-15705297.html,https://www.tagesspiegel.de/images/15705303/alternates/BASE_16_9_W1400/1781180564000/warnung-vor-eichenprozessionsspinnern.jpeg,http://web.archive.org/web/20260618095659/https://www.tagesspiegel.de/berlin/erst-glatteis-jetzt-eichenprozessionsspinner-berlin-sucht-mal-wieder-den-schuldigen-aber-nicht-die-losung-15705297.html,Berlin hat in den vergangenen Tagen zwei Realitäten gleichzeitig erlebt. Da ist einmal die Lage in den Parks und Grünflächen. In unzähligen Bäumen hat sich der Eichenprozessionsspinner ausgebreitet. … [+162 chars],,"Erst Glatteis, jetzt Eichenprozessionsspinner: Berlin sucht mal wieder den Schuldigen, aber nicht die Lösung. Berlins Bürger fühlen sich erneut im Stich gelassen. Doch die Politik pocht auf Zuständigkeiten – und verpasst eine Chance für den Wahlkampf. Mit einer solchen Mentalität, hilft auch die beste Verwaltungsreform nicht.","First black ice, now oak processionary moth: Berlin is once again looking for the culprit, but not the solution. Berlin's citizens feel abandoned again. But politicians insist on responsibilities - and miss an opportunity for the election campaign. With such a mentality, even the best administrative reform won't help.","Primum glacies nigra, nunc tinea processionaria quercus: Berlin denuo reum quaerit, sed solutionem non. Cives Berolinensis iterum se desertos sentiunt. Sed politici officia insistunt - et occasionem electionis gerendi requirunt. Tali mente, etiam optima reformatio administrativa non adiuvat.",2026-06-18 10:53:23+00:00
fcbdfd504b3bad1ccfe8a31e9c315ec2,2026-06-14T02:31:00Z,'Frost',www.prnewswire.com,de,0.9,Technologiegestützte globale Führungsrolle: DongCheng wurde drei Jahre in Folge (2022-2024) zum weltweit führenden Anbieter von Winkelschleifern gekürt,"NANTONG, China, 14. Juni 2026 /PRNewswire/ -- DongCheng, ein führender Hersteller von professionellen Elektrowerkzeugen, wurde von Frost & Sullivan in drei aufeinanderfolgenden Jahren von 2022 bis 2024 als weltweit meistverkaufte Marke für Winkelschleifer aus…",https://www.prnewswire.com/news-releases/technologiegestutzte-globale-fuhrungsrolle-dongcheng-wurde-drei-jahre-in-folge-20222024-zum-weltweit-fuhrenden-anbieter-von-winkelschleifern-gekurt-302799670.html,https://mmx.prnewswire.com/media/MS1862872/video-EN.mp4?id=OA2699705&p=thumbnail,,"NANTONG, China, 14. Juni 2026 /PRNewswire/ -- DongCheng, ein führender Hersteller von professionellen Elektrowerkzeugen, wurde von Frost &amp; Sullivan in drei aufeinanderfolgenden Jahren von 2022 bi… [+3267 chars]",,"Technologiegestützte globale Führungsrolle: DongCheng wurde drei Jahre in Folge (2022-2024) zum weltweit führenden Anbieter von Winkelschleifern gekürt. NANTONG, China, 14. Juni 2026 /PRNewswire/ -- DongCheng, ein führender Hersteller von professionellen Elektrowerkzeugen, wurde von Frost & Sullivan in drei aufeinanderfolgenden Jahren von 2022 bis 2024 als weltweit meistverkaufte Marke für Winkelschleifer aus…","Technology-Enabled Global Leadership: DongCheng has been named the world leader in angle grinders for three consecutive years (2022-2024). NANTONG, China, June 14, 2026 /PRNewswire/ -- DongCheng, a leading manufacturer of professional power tools, was ranked as the world's best-selling angle grinder brand by Frost & Sullivan for three consecutive years from 2022 to 2024...","Technology-enabled Global Leadership: DongCheng dux in angulo molares per tres annos continuos nominatus est (2022-2024). NANTONG, Sinis, die 14 Iunii 2026 / PRNewswire/ -- DongCheng, primarius instrumentorum potentiae professionalis opifex, mundi angulum molentis notam optimae venditionis a Frost & Sullivan annis tribus continuis ab 2022 ad 2024 designatus est.",2026-06-19 20:13:47+00:00
